id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
91,BPL-2012,Barishal,03-04-2010,Comilla Victorians,Rajshahi Kings,Rajshahi Kings,field,normal,0,Comilla Victorians,50,0,Mujeeb Ur Rahman,Barishal Divisional Stadium,Tanvir Ahmed,Mahfuzur Rahman
92,BPL-2012,Barishal,07-09-2010,Comilla Victorians,Rajshahi Kings,Rajshahi Kings,bat,normal,0,Comilla Victorians,78,0,Mujeeb Ur Rahman,Barishal Divisional Stadium,Tanvir Ahmed,Gazi Sohel
93,BPL-2012,Khulna,05-11-2010,Barishal Bulls,Dhaka Dominators,Dhaka Dominators,field,normal,0,Barishal Bulls,60,0,Tamim Iqbal,Sheikh Abu Naser Stadium,Sharfuddoula,Masudur Rahman
94,BPL-2012,Rangpur,29-11-2010,Barishal Bulls,Rangpur Riders,Barishal Bulls,bat,normal,0,Rangpur Riders,33,0,Mohammad Nabi,Rangpur Cricket Garden,Masudur Rahman,Sharfuddoula
95,BPL-2012,Khulna,19-11-2010,Chattogram Challengers,Rajshahi Kings,Rajshahi Kings,field,normal,0,Rajshahi Kings,82,0,Mujeeb Ur Rahman,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Gazi Sohel
96,BPL-2012,Rangpur,25-02-2010,Dhaka Dominators,Comilla Victorians,Comilla Victorians,field,normal,0,Dhaka Dominators,0,5,Faf du Plessis,Rangpur Cricket Garden,Masudur Rahman,Sharfuddoula
97,BPL-2012,Sylhet,19-12-2010,Dhaka Dominators,Chattogram Challengers,Dhaka Dominators,bat,normal,0,Chattogram Challengers,100,0,Shakib Al Hasan,Sylhet International Cricket Stadium,Sharfuddoula,Tanvir Ahmed
98,BPL-2012,Dhaka,02-10-2010,Rangpur Riders,Rajshahi Kings,Rajshahi Kings,field,normal,0,Rangpur Riders,18,0,Lendl Simmons,Shere Bangla National Stadium,Tanvir Ahmed,Mahfuzur Rahman
99,BPL-2012,Dhaka,16-03-2010,Khulna Tigers,Dhaka Dominators,Khulna Tigers,bat,normal,0,Khulna Tigers,88,0,Shahid Afridi,Shere Bangla National Stadium,Mahfuzur Rahman,Sharfuddoula
100,BPL-2012,Dhaka,18-05-2010,Sylhet Strikers,Comilla Victorians,Sylhet Strikers,field,normal,0,Comilla Victorians,57,0,Sunil Narine,Shere Bangla National Stadium,Masudur Rahman,Sharfuddoula
101,BPL-2012,Chattogram,08-02-2010,Chattogram Challengers,Dhaka Dominators,Chattogram Challengers,field,normal,0,Dhaka Dominators,0,7,Mehidy Hasan,Zahur Ahmed Chowdhury Stadium,Masudur Rahman,Mahfuzur Rahman
102,BPL-2012,Rangpur,28-09-2010,Sylhet Strikers,Barishal Bulls,Sylhet Strikers,bat,normal,0,Barishal Bulls,0,3,Colin Munro,Rangpur Cricket Garden,Gazi Sohel,Masudur Rahman
103,BPL-2012,Dhaka,30-06-2010,Rajshahi Kings,Dhaka Dominators,Rajshahi Kings,field,normal,0,Rajshahi Kings,83,0,Mujeeb Ur Rahman,Shere Bangla National Stadium,Tanvir Ahmed,Gazi Sohel
104,BPL-2012,Dhaka,05-09-2010,Rangpur Riders,Chattogram Challengers,Chattogram Challengers,bat,normal,0,Chattogram Challengers,0,1,Mehidy Hasan,Shere Bangla National Stadium,Gazi Sohel,Tanvir Ahmed
105,BPL-2012,Chattogram,16-03-2010,Barishal Bulls,Comilla Victorians,Comilla Victorians,field,normal,0,Barishal Bulls,87,0,Sunil Narine,Zahur Ahmed Chowdhury Stadium,Mahfuzur Rahman,Masudur Rahman
106,BPL-2012,Chattogram,18-03-2010,Barishal Bulls,Dhaka Dominators,Dhaka Dominators,bat,normal,0,Barishal Bulls,93,0,Mushfiqur Rahim,Zahur Ahmed Chowdhury Stadium,Sharfuddoula,Tanvir Ahmed
107,BPL-2012,Sylhet,28-04-2010,Sylhet Strikers,Dhaka Dominators,Sylhet Strikers,field,normal,0,Sylhet Strikers,0,4,Tamim Iqbal,Sylhet International Cricket Stadium,Tanvir Ahmed,Masudur Rahman
108,BPL-2012,Dhaka,07-10-2010,Comilla Victorians,Dhaka Dominators,Dhaka Dominators,field,normal,0,Dhaka Dominators,0,1,Sunil Narine,Shere Bangla National Stadium,Masudur Rahman,Gazi Sohel
109,BPL-2012,Khulna,28-10-2010,Khulna Tigers,Sylhet Strikers,Khulna Tigers,field,normal,0,Sylhet Strikers,0,7,Najmul Hossain Shanto,Sheikh Abu Naser Stadium,Sharfuddoula,Gazi Sohel
110,BPL-2012,Chattogram,11-04-2010,Sylhet Strikers,Chattogram Challengers,Chattogram Challengers,field,normal,0,Sylhet Strikers,0,10,Mohammad Mithun,Zahur Ahmed Chowdhury Stadium,Sharfuddoula,Mahfuzur Rahman
111,BPL-2012,Barishal,31-07-2010,Comilla Victorians,Rangpur Riders,Comilla Victorians,field,normal,0,Rangpur Riders,0,5,Imrul Kayes,Barishal Divisional Stadium,Masudur Rahman,Sharfuddoula
112,BPL-2012,Khulna,29-01-2010,Sylhet Strikers,Khulna Tigers,Khulna Tigers,field,normal,0,Khulna Tigers,21,0,Anamul Haque,Sheikh Abu Naser Stadium,Sharfuddoula,Masudur Rahman
113,BPL-2012,Chattogram,23-05-2010,Khulna Tigers,Rajshahi Kings,Khulna Tigers,bat,normal,0,Rajshahi Kings,78,0,Yasir Ali,Zahur Ahmed Chowdhury Stadium,Sharfuddoula,Tanvir Ahmed
114,BPL-2012,Khulna,31-05-2010,Khulna Tigers,Comilla Victorians,Khulna Tigers,bat,normal,0,Khulna Tigers,85,0,Shahid Afridi,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Gazi Sohel
115,BPL-2012,Dhaka,24-05-2010,Barishal Bulls,Chattogram Challengers,Barishal Bulls,field,normal,0,Chattogram Challengers,0,7,Shamsur Rahman,Shere Bangla National Stadium,Tanvir Ahmed,Mahfuzur Rahman
116,BPL-2012,Sylhet,19-07-2010,Khulna Tigers,Comilla Victorians,Comilla Victorians,bat,normal,0,Comilla Victorians,0,10,Shahid Afridi,Sylhet International Cricket Stadium,Masudur Rahman,Mahfuzur Rahman
117,BPL-2012,Barishal,15-05-2010,Dhaka Dominators,Chattogram Challengers,Dhaka Dominators,bat,normal,0,Dhaka Dominators,66,0,Nasum Ahmed,Barishal Divisional Stadium,Gazi Sohel,Tanvir Ahmed
118,BPL-2012,Rangpur,29-09-2010,Comilla Victorians,Rangpur Riders,Rangpur Riders,field,normal,0,Comilla Victorians,98,0,Sunil Narine,Rangpur Cricket Garden,Tanvir Ahmed,Mahfuzur Rahman
119,BPL-2012,Dhaka,08-01-2010,Rangpur Riders,Barishal Bulls,Rangpur Riders,field,normal,0,Barishal Bulls,0,3,David Miller,Shere Bangla National Stadium,Masudur Rahman,Mahfuzur Rahman
